name,sku,unitPrice,key,issue
6m Mystique with lattice Sliding Gate @ 1.5m Above Ground,Gate-Myst-Sliding-1.4H-5.6/6.5,7095.9,residential|gate|Mystique solid|Mystique solid||1.4|||sliding,DUPLICATE_KEY
3.1-3.5m Mystique Sliding Gate @ 1.4m Above Ground,Gate-Myst-Sliding-1.4H-3.1/3.5,4139.27,residential|gate|Mystique solid|Mystique solid||1.4|||sliding,DUPLICATE_KEY
4.8m Mystique with Lattice Sliding Gate @ 1.8m Above Ground,Gate-Myst-Sliding-1.8H-4.6/5.0,4095.0,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
5.1m Mystique Sliding Gate @ 1.8m Above Ground,Gate-Myst-Sliding-1.8H-5.1/5.5,6504.57,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
3.1-3.5m Mystique Lattice Sliding Gate @ 1.8m Above Ground,Gate-Myst-Sliding-1.8H-3.1/3.5,4139.27,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
3.6-4.0m Mystique Sliding Gate @ 1.8m Above ground,Gate-Myst-Sliding-1.8H-3.6/4.0,4421.12,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
4.1-4.5m Mystique Sliding Gate @ 1.8m Above Ground,Gate-Myst-Sliding-1.8H-4.1/4.5,4973.76,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
5.6-6.5m Mystique Sliding Gate @ 1.8m Above Ground,Gate-Myst-Sliding-1.8H-5.6/6.5,6631.68,residential|gate|Mystique solid|Mystique solid||1.8|||sliding,DUPLICATE_KEY
5.1-5.5m Mystique Sliding Gate @ 2.0m Above Ground,Gate-Myst-Sliding-2.0H-5.1/5.5,6079.04,residential|gate|Mystique solid|Mystique solid||2|||sliding,DUPLICATE_KEY
3.1-3.5m Mystique Sliding Gate @ 2.0m Above Ground,Gate-Myst-Sliding-2.0H-3.1/3.5,3868.48,residential|gate|Mystique solid|Mystique solid||2|||sliding,DUPLICATE_KEY
4.0m Mystique Sliding Gate @ 2.0m Above Ground,Gate-Myst-Sliding-2.0H-3.6/4.0,4730.6,residential|gate|Mystique solid|Mystique solid||2|||sliding,DUPLICATE_KEY
Timberline 5.1-5.5m Sliding Gate,TLGATE-Sliding-5.1/5.5,4586.5,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 3.1-3.5m Sliding Gate,TLGATE-Sliding-3.1/3.5,3089.15,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 3.6-4.0m Sliding Gate,TLGATE-Sliding-3.6/4.0,3494.76,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 5.6-6.5m Sliding Gate,TLGATE-Sliding-5.6/6.5,4992.09,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 3.6-4.0m Premium Sliding Gate,TLGATE-Sliding-Prem-3.6/4.0,4000.84,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 4.6-5.0m Sliding Gate,TLGATE-Sliding-4.6/5.0,4180.91,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
Timberline 4.1-4.5m Sliding Gate,TLGATE-Sliding-4.1/4.5,3900.34,rural|gate|TLGATE||||||sliding,DUPLICATE_KEY
White Powder Coated Mesh,Mesh-WHT,194.0,rural|mesh|Mesh|Mesh|white,DUPLICATE_KEY
Black Powder Coated Mesh,Mesh-BLK,30.0,rural|mesh|Mesh|Mesh|white,DUPLICATE_KEY
Mesh/ Pharlap Panel 150x50mm Top Rail Col : White,MeshPanel-White-150x50mm,149.0,rural|panel|MeshPanel|Mesh|white,DUPLICATE_KEY
Mesh/Pharlap Panel 150x50mm Top Rail Colour : TBA,MeshPanel-Colour-150x50mm,230.0,rural|panel|MeshPanel|Mesh|white,DUPLICATE_KEY
Mesh/ Pharlap Panel 88x51mm Top Rail Col : White,MeshPanel-White-88x51mm,150.3,rural|panel|MeshPanel|Mesh|white,DUPLICATE_KEY
Mesh/ Pharlap Panel 88x51mm Top Rail Colour : TBA,MeshPanel-Colour-88x51mm,167.0,rural|panel|MeshPanel|Mesh|white,DUPLICATE_KEY
Timberline 140x40mm White Fence,Timberline-140x40mm-White,4322.21,rural|panel|Timberline|140|white,DUPLICATE_KEY
Timberline 140x40mm White Fence,Timberline-140x40mm-White,4322.21,rural|panel|Timberline|140|white,DUPLICATE_KEY
